building_id,rep_point,geohash
13101-bldg-36,POINT (139.7504355162432 35.6708622023461),xn76ujejv4t
13101-bldg-26,POINT (139.7509676131206 35.6706805083805),xn76ujesc8f
13101-bldg-28,POINT (139.75103669304514 35.6708041655892),xn76ujet7pv
13103-bldg-23159,POINT (139.75174221780458 35.66716530763624),xn76ujh079e
13103-bldg-23194,POINT (139.75158866729387 35.667213584280184),xn76ujh0849
13103-bldg-23150,POINT (139.75185157922013 35.66714972681559),xn76ujh0nnt
13103-bldg-23446,POINT (139.75186715613393 35.667445216306035),xn76ujh1yt8
13103-bldg-23182,POINT (139.75207948507176 35.66721244594506),xn76ujh2e6r
13103-bldg-23222,POINT (139.7520903962414 35.66728121781303),xn76ujh2gxp
13103-bldg-23190,POINT (139.75218633370943 35.66719584038056),xn76ujh2mzn
13103-bldg-23181,POINT (139.7522626812265 35.66718034875495),xn76ujh2rsr
13103-bldg-23272,POINT (139.75218570748672 35.667334212181785),xn76ujh3mcn
13103-bldg-23381,POINT (139.75220298933831 35.66743730140858),xn76ujh3yk5
13103-bldg-23447,POINT (139.75159408907845 35.66759068160487),xn76ujh4b0v
13103-bldg-23518,POINT (139.7516372256894 35.66767306785023),xn76ujh530j
13103-bldg-23595,POINT (139.75204628912434 35.66778977260273),xn76ujh7fty
13103-bldg-23565,POINT (139.75213543832808 35.66775819541179),xn76ujh7ub1
13103-bldg-23608,POINT (139.75224053092234 35.66778189244937),xn76ujh7zhr
13103-bldg-23131,POINT (139.75239084345935 35.667125780531535),xn76ujh84dp
13103-bldg-23212,POINT (139.75246600953136 35.667261976475935),xn76ujh8u7x
13103-bldg-23184,POINT (139.75254046482755 35.6672290182516),xn76ujh8wjr
13103-bldg-23339,POINT (139.75236250897808 35.6673752010616),xn76ujh9d0d
13103-bldg-23293,POINT (139.75258976997935 35.66733023312697),xn76ujh9r27
13103-bldg-23320,POINT (139.752499963937 35.66737705471519),xn76ujh9t2b
13103-bldg-23175,POINT (139.75279303379185 35.66716276792561),xn76ujhbk15
13103-bldg-23235,POINT (139.75284040625817 35.66727087988105),xn76ujhbvjn
13103-bldg-23224,POINT (139.75291579364458 35.66724910347336),xn76ujhbycn
13103-bldg-23241,POINT (139.75277888132467 35.66728971864414),xn76ujhc5b8
13103-bldg-23364,POINT (139.7522751870801 35.667461981829376),xn76ujhd00c
13103-bldg-23476,POINT (139.75257418777434 35.66762431718295),xn76ujhdzp0
13103-bldg-23546,POINT (139.75229913071968 35.66771379966555),xn76ujhe2xg
13103-bldg-23577,POINT (139.75241465440635 35.66773072605193),xn76ujhee6c
13103-bldg-23496,POINT (139.752465567703 35.66765429605601),xn76ujhehkx
13103-bldg-23419,POINT (139.75265796351752 35.66756704731035),xn76ujhf8uq
13103-bldg-23459,POINT (139.75261871024375 35.6676029123919),xn76ujhfb51
13103-bldg-23464,POINT (139.75268454059113 35.66762081637748),xn76ujhfcw6
13103-bldg-23434,POINT (139.75272329334038 35.667569723190844),xn76ujhfdkz
13103-bldg-23550,POINT (139.75270464675148 35.667697477553254),xn76ujhg6h9
13103-bldg-23576,POINT (139.75269291935095 35.66778350409943),xn76ujhgcub
13103-bldg-23555,POINT (139.75279480839865 35.66775918869874),xn76ujhgu0h
13103-bldg-23585,POINT (139.7528142926324 35.667798051512236),xn76ujhgux7
13103-bldg-23706,POINT (139.75168777254487 35.667938483651895),xn76ujhhf3e
13103-bldg-23724,POINT (139.7516859432363 35.66807666940424),xn76ujhjd73
13103-bldg-23764,POINT (139.7517222548816 35.66813798370932),xn76ujhjgnu
13103-bldg-23688,POINT (139.75178733606762 35.6679827080285),xn76ujhjh9v
13103-bldg-23713,POINT (139.75181513128643 35.66804240235345),xn76ujhjmm4
13103-bldg-23746,POINT (139.75184391565577 35.66810285700218),xn76ujhjvbr
13103-bldg-23702,POINT (139.75201176851135 35.66791185611618),xn76ujhk9us
13103-bldg-23623,POINT (139.75217337100986 35.66783742465971),xn76ujhkjwv
13103-bldg-23675,POINT (139.75226339528413 35.66796125849633),xn76ujhkzvb
13103-bldg-23723,POINT (139.7520341913971 35.66806966990328),xn76ujhmd6j
13103-bldg-23754,POINT (139.75206914020728 35.66812588583738),xn76ujhmghx
13103-bldg-23716,POINT (139.75214345767495 35.66805360975828),xn76ujhmkzn
13103-bldg-23732,POINT (139.75218178888295 35.66812916132009),xn76ujhmvv5
13103-bldg-23817,POINT (139.7516024860128 35.668281835831884),xn76ujhnb3e
13103-bldg-23818,POINT (139.75178303514593 35.66822706820205),xn76ujhnkx6
13103-bldg-23798,POINT (139.75188677527512 35.668191739618024),xn76ujhnqbz
13103-bldg-23853,POINT (139.75181860185467 35.66831358746624),xn76ujhnvrs
13103-bldg-23897,POINT (139.7516642357153 35.66841722526574),xn76ujhp9fc
13103-bldg-23917,POINT (139.7516876502319 35.668456881407494),xn76ujhpf67
13103-bldg-23895,POINT (139.7518636114632 35.66838773195423),xn76ujhpqmq
13103-bldg-23938,POINT (139.75191105044138 35.66848152231506),xn76ujhpzwc
13103-bldg-23830,POINT (139.75194611948055 35.668275135867084),xn76ujhqb27
13103-bldg-23789,POINT (139.7521081880654 35.668201091263796),xn76ujhqk4s
13103-bldg-23778,POINT (139.75220747717083 35.66818983837672),xn76ujhqq2w
13103-bldg-23801,POINT (139.75223724325502 35.668233012653694),xn76ujhqx0s
13103-bldg-23880,POINT (139.75197036675968 35.66835620992413),xn76ujhr0zt
13103-bldg-23924,POINT (139.75200748293045 35.66844402738737),xn76ujhr9zc
13103-bldg-23663,POINT (139.7523520347943 35.66794594823083),xn76ujhscg4
13103-bldg-23832,POINT (139.75255924842125 35.66808259773424),xn76ujhtwst
13103-bldg-23617,POINT (139.7527202566025 35.667837252550456),xn76ujhu4qv
13103-bldg-23610,POINT (139.75283602927394 35.66784044249895),xn76ujhujp7
13103-bldg-23694,POINT (139.7528203425412 35.667943182223425),xn76ujhuudx
13103-bldg-23725,POINT (139.75280965830748 35.66806499235938),xn76ujhvs3p
13103-bldg-23759,POINT (139.75285496201408 35.66812859678309),xn76ujhvvt1
13103-bldg-23739,POINT (139.75292745722447 35.668065722505546),xn76ujhvx1r
13103-bldg-23898,POINT (139.75245430687698 35.668284092773),xn76ujhwu4n
13103-bldg-23939,POINT (139.7522753789154 35.66841481384801),xn76ujhx843
13103-bldg-23912,POINT (139.7523782384817 35.66844451185422),xn76ujhxdry
13103-bldg-23767,POINT (139.75287028381481 35.6681808730694),xn76ujhyjyu
13103-bldg-23804,POINT (139.75289874599966 35.668229036439705),xn76ujhyqxf
13103-bldg-23823,POINT (139.75292451491973 35.668281045298194),xn76ujhyz1t
13103-bldg-23949,POINT (139.75280941948347 35.66848374971965),xn76ujhzurr
13103-bldg-23937,POINT (139.75286366111413 35.66846673510269),xn76ujhzvu0
13103-bldg-23200,POINT (139.75298702287907 35.6671648119553),xn76ujj0297
13103-bldg-23311,POINT (139.75317881856554 35.66741321384894),xn76ujj1tpe
13103-bldg-23356,POINT (139.75313329293286 35.66745274316224),xn76ujj1up1
13103-bldg-23297,POINT (139.75324726886166 35.66738791476014),xn76ujj1wen
13103-bldg-23231,POINT (139.7536299692436 35.66727707006346),xn76ujj2zw7
13103-bldg-23268,POINT (139.7534421543902 35.66732365737434),xn76ujj35pp
13103-bldg-23292,POINT (139.75347001225944 35.66737877338098),xn76ujj3eck
13103-bldg-23263,POINT (139.75355897959923 35.66729960186227),xn76ujj3jfw
13103-bldg-23378,POINT (139.7530792714207 35.66747631161283),xn76ujj44g2
13103-bldg-23457,POINT (139.7529820195246 35.667547869082405),xn76ujj488b
13103-bldg-23487,POINT (139.75315729217797 35.66759862821765),xn76ujj4ud6
13103-bldg-23429,POINT (139.75329798942798 35.66756504213941),xn76ujj4xu5
13103-bldg-23507,POINT (139.75301683147185 35.66767284461635),xn76ujj5324
13103-bldg-23534,POINT (139.7530418364089 35.667720950478014),xn76ujj59ch
13103-bldg-23573,POINT (139.7530491291572 35.667793072641885),xn76ujj5fnd
13103-bldg-23614,POINT (139.75326203254386 35.66777207532479),xn76ujj5z49
13103-bldg-23438,POINT (139.75333980083923 35.667599403871414),xn76ujj6bf7
13103-bldg-23408,POINT (139.7535898535208 35.66749801487284),xn76ujj6nxt
13103-bldg-23471,POINT (139.75363142021493 35.667600806727826),xn76ujj6zds
13103-bldg-23466,POINT (139.75336182943917 35.66763756920497),xn76ujj713e
13103-bldg-23509,POINT (139.75363828430235 35.66767133235048),xn76ujj7pzc
13103-bldg-23225,POINT (139.7537219877913 35.667247748795106),xn76ujj8cbb
13103-bldg-23280,POINT (139.75377083678435 35.66735655525864),xn76ujj96vh
13103-bldg-23312,POINT (139.75368299974724 35.66740403747856),xn76ujj98y4
13103-bldg-23305,POINT (139.75379489406188 35.66740401630134),xn76ujj9eqn
13103-bldg-23354,POINT (139.7538387069158 35.66745543261223),xn76ujj9urx
13103-bldg-27410,POINT (139.75402310988494 35.667210629547085),xn76ujjb8cb
13103-bldg-23329,POINT (139.7541370374431 35.66738714963793),xn76ujjce6v
13103-bldg-23374,POINT (139.75373489671966 35.66748315238162),xn76ujjd4hc
13103-bldg-23452,POINT (139.75383040578296 35.66755869160361),xn76ujjds6b
13103-bldg-23554,POINT (139.7536808243158 35.66772395545132),xn76ujje8c9
13103-bldg-23578,POINT (139.7537192072839 35.667778260130625),xn76ujjecev
