building_id,rep_point,geohash
13103-bldg-2515,POINT (139.75317168684396 35.66741022369668),xn76ujj1szj
13103-bldg-2390,POINT (139.753238141192 35.667385712799906),xn76ujj1w6x
13103-bldg-4130,POINT (139.75362736050238 35.667278584109525),xn76ujj2zw9
13103-bldg-6745,POINT (139.753430484388 35.66732336412313),xn76ujj34yy
13103-bldg-7364,POINT (139.75345963885903 35.66738086259396),xn76ujj3e9s
13103-bldg-11196,POINT (139.7535536262756 35.6673056914202),xn76ujj3jgd
13103-bldg-2250,POINT (139.75309507276924 35.667462301113844),xn76ujj450u
13103-bldg-9238,POINT (139.75297226792756 35.66754377966705),xn76ujj4820
13103-bldg-6484,POINT (139.7531567625768 35.66760420839804),xn76ujj4ue6
13103-bldg-8879,POINT (139.75328880290868 35.66756347809486),xn76ujj4xet
13103-bldg-6754,POINT (139.75329948198066 35.6676119852705),xn76ujj4zuu
13103-bldg-8667,POINT (139.7530075724635 35.66767608034456),xn76ujj530e
13103-bldg-7626,POINT (139.75309937045216 35.66767644165057),xn76ujj570z
13103-bldg-7363,POINT (139.75302913081572 35.66772461427868),xn76ujj599g
13103-bldg-11027,POINT (139.7530504402491 35.66779297957288),xn76ujj5fne
13103-bldg-6104,POINT (139.75325141795355 35.66777011683342),xn76ujj5yf3
13103-bldg-11066,POINT (139.75357419306508 35.66749794244936),xn76ujj6nr9
13103-bldg-5000,POINT (139.7536183259629 35.667610070576266),xn76ujj6zk6
13103-bldg-11085,POINT (139.75335621061993 35.66763645477843),xn76ujj711r
13103-bldg-6444,POINT (139.75341505030212 35.66779126003825),xn76ujj7fw5
13103-bldg-5238,POINT (139.7537162498349 35.667248426681155),xn76ujj8c95
13103-bldg-3537,POINT (139.7537698920049 35.667359167318416),xn76ujj96ve
13103-bldg-4415,POINT (139.75367907912087 35.66740510490966),xn76ujj98y0
13103-bldg-1515,POINT (139.7537901405138 35.66740785984299),xn76ujj9eqd
13103-bldg-5342,POINT (139.75383242003227 35.66745285290943),xn76ujj9ur4
13103-bldg-3390,POINT (139.7540161672368 35.66723003652345),xn76ujjb8te
13103-bldg-5235,POINT (139.7538022513386 35.66754575365777),xn76ujjde87
13103-bldg-2455,POINT (139.75365532434841 35.667704886990364),xn76ujje2nn
13103-bldg-7947,POINT (139.75371549488932 35.66779668492042),xn76ujjecx5
13103-bldg-11406,POINT (139.75386803760512 35.667642334182275),xn76ujjej4k
13103-bldg-6246,POINT (139.7539019905442 35.66768932104234),xn76ujjemgn
13103-bldg-8404,POINT (139.75391174325605 35.667749151499336),xn76ujjewnm
13103-bldg-6728,POINT (139.75408430795176 35.66753456653763),xn76ujjf6nq
13103-bldg-5268,POINT (139.75420125782534 35.66747763370924),xn76ujjfhgt
13103-bldg-1543,POINT (139.7542260332824 35.66754501274696),xn76ujjft2r
13103-bldg-2645,POINT (139.75419181232976 35.66761350885466),xn76ujjfutn
13103-bldg-2814,POINT (139.75422732592233 35.66767225892834),xn76ujjgm80
13103-bldg-956,POINT (139.75427343271411 35.667745806107675),xn76ujjgwte
13103-bldg-5976,POINT (139.7531519692011 35.66788804705485),xn76ujjhs2n
13103-bldg-76,POINT (139.7533416795348 35.66799591835156),xn76ujjm0uk
13103-bldg-1420,POINT (139.75296868480052 35.66814936329643),xn76ujjn00y
13103-bldg-10175,POINT (139.75299187907362 35.668225935887534),xn76ujjn2xp
13103-bldg-6604,POINT (139.75296858749914 35.66842462277452),xn76ujjp8hq
13103-bldg-11028,POINT (139.75311406188948 35.66841547456352),xn76ujjpedd
13103-bldg-6190,POINT (139.75333067543374 35.66830827540567),xn76ujjqbws
13103-bldg-11663,POINT (139.7534218475037 35.66827352941288),xn76ujjqfb0
13103-bldg-4220,POINT (139.7536254269011 35.66822859731669),xn76ujjqrx8
13103-bldg-4441,POINT (139.75352707810842 35.66825923698312),xn76ujjqtjq
13103-bldg-7452,POINT (139.75345196377822 35.66833403307145),xn76ujjr57q
13103-bldg-6603,POINT (139.75341521472976 35.66842978201919),xn76ujjrdt5
13103-bldg-10720,POINT (139.75358998923795 35.66838444781339),xn76ujjrqsv
13103-bldg-6051,POINT (139.75376933309562 35.667878300853936),xn76ujjs6y7
13103-bldg-824,POINT (139.75369492348005 35.66795186198327),xn76ujjsch5
13103-bldg-5715,POINT (139.75396413678527 35.667873251960806),xn76ujjsrmk
13103-bldg-5963,POINT (139.7538194978634 35.667966604056275),xn76ujjsunb
